GPIOA|00000000 00000000 00000000 00000000|00000000 00000000 00000000 00000000|00000000 00000000
GPIOB|00000000 00000000 00000000 00000000|00000000 00000000 00000000 00000000|00000000 00000000
GPIOC|00000000 00000000 00000000 00000000|00000000 00000000 00000000 00000000|00000000 00000000
GPIOD|00000000 00000000 00000000 00000000|00000000 00000000 00000000 00000000|00000000 00000000
GPIOE|00000000 00000000 00000000 00000000|00000000 00000000 00000000 00000000|00000000 00000000
GPIOF|00000000 00000000 00000000 00000000|00000000 00000000 00000000 00000000|00000000 00000000
GPIOG|FFDFFFFD 00000400 00300003 00000000|00000401 00000401 00000000 00000000|00000000 00000000
GPIOH|00000000 00000000 00000000 00000000|00000000 00000000 00000000 00000000|00000000 00000000
GPION|03AAEAAA 00000000 00FF3FFF 00000000|00000B3C 00000000 00000000 00000000|09999999 00009999
GPIOO|00000000 00000000 00000000 00000000|00000000 00000000 00000000 00000000|00000000 00000000
GPIOP|00000000 00000000 00000000 00000000|00000000 00000000 00000000 00000000|00000000 00000000
GPIOQ|00000000 00000000 00000000 00000000|00000000 00000000 00000000 00000000|00000000 00000000
