# stm32-ai-deployer watch trace v1
# board=STM32H7 elf= model=anomaly_cnn_int8 started=2026-09-09T12:41:08
# targetHz=200 items=6
# item,0,_end,0x20002c00,u32,hex,1,0,,bssEnd
# item,1,g_ai_last_inference_us,0x20000f24,u32,dec,0.001,0,ms,inferenceUs
# item,2,g_ai_infer_count,0x20000f20,u32,dec,1,0,,inferCount
# item,3,g_ai_last_class,0x20000f1c,u8,dec,1,0,,lastClass
# item,4,g_ai_last_confidence,0x20000f1b,u8,dec,1,0,%,confidence
# item,5,uwTick,0x20002aac,u32,dec,1,0,ms,hwTick
t,0,1,2,3,4,5
15.380892,745931122,926,66377,1,99,3123427
15.385909,745931122,926,66377,1,99,3123432
15.390919,745931122,926,66378,1,99,3123438
15.395893,745931122,926,66378,1,99,3123442
15.400964,745931122,926,66378,1,99,3123448
15.405930,745931122,926,66378,1,99,3123452
15.410925,745931122,926,66378,1,99,3123457
15.415676,745931122,926,66378,1,99,3123462
15.420660,745931122,926,66378,1,99,3123467
15.425646,745931122,926,66378,1,99,3123472
15.430658,745931122,926,66378,1,99,3123477
15.435670,745931122,926,66378,1,99,3123482
15.440658,745931122,926,66379,1,99,3123487
15.445264,745931122,926,66379,1,99,3123492
15.450293,745931122,926,66379,1,99,3123497
15.455357,745931122,926,66379,1,99,3123502
15.460246,745931122,926,66379,1,99,3123506
15.465879,745931122,926,66379,1,99,3123512
15.470788,745931122,926,66379,1,99,3123517
15.475794,745931122,926,66379,1,99,3123522
15.480791,745931122,926,66379,1,99,3123527
15.485826,745931122,926,66380,1,99,3123532
15.490796,745931122,926,66380,1,99,3123537
15.495433,745931122,926,66380,1,99,3123541
15.500316,745931122,926,66380,1,99,3123546
15.505313,745931122,926,66380,1,99,3123552
15.510317,745931122,926,66380,1,99,3123556
15.515784,745931122,926,66380,1,99,3123562
15.520790,745931122,926,66380,1,99,3123567
15.525783,745931122,926,66380,1,99,3123572
15.530803,745931122,926,66380,1,99,3123577
15.535795,745931122,926,66381,1,99,3123582
15.540799,745931122,926,66381,1,99,3123587
15.545788,745931122,926,66381,1,99,3123592
15.550779,745931122,926,66381,1,99,3123597
15.555837,745931122,926,66381,1,99,3123602
15.560823,745931122,926,66381,1,99,3123607
15.565792,745931122,926,66381,1,99,3123611
15.570319,745931122,926,66381,1,99,3123616
15.575720,745931122,926,66381,1,99,3123621
